pre.0.weight     torch.Size([24, 3, 3, 3])
stage4.0.residual.0.bias         torch.Size([232])
stage4.0.residual.1.weight       torch.Size([232])
stage4.0.residual.1.bias         torch.Size([232])
stage4.0.residual.1.running_mean         torch.Size([232])
stage4.0.residual.1.running_var          torch.Size([232])
stage4.0.residual.1.num_batches_tracked          torch.Size([])
stage4.0.residual.3.weight       torch.Size([232, 1, 3, 3])
stage4.0.residual.3.bias         torch.Size([232])
stage4.0.residual.4.weight       torch.Size([232])
stage4.0.residual.4.bias         torch.Size([232])
stage4.0.residual.4.running_mean         torch.Size([232])
stage4.0.residual.4.running_var          torch.Size([232])
stage4.0.residual.4.num_batches_tracked          torch.Size([])
stage4.0.residual.5.weight       torch.Size([232, 232, 1, 1])
stage4.0.residual.5.bias         torch.Size([232])
stage4.0.residual.6.weight       torch.Size([232])
stage4.0.residual.6.bias         torch.Size([232])
stage4.0.residual.6.running_mean         torch.Size([232])
stage4.0.residual.6.running_var          torch.Size([232])
stage4.0.residual.6.num_batches_tracked          torch.Size([])
stage4.0.shortcut.0.weight       torch.Size([232, 1, 3, 3])
stage4.0.shortcut.0.bias         torch.Size([232])
stage4.0.shortcut.1.weight       torch.Size([232])
stage4.0.shortcut.1.bias         torch.Size([232])
stage4.0.shortcut.1.running_mean         torch.Size([232])
stage4.0.shortcut.1.running_var          torch.Size([232])
stage4.0.shortcut.1.num_batches_tracked          torch.Size([])
stage4.0.shortcut.2.weight       torch.Size([232, 232, 1, 1])
stage4.0.shortcut.2.bias         torch.Size([232])
stage4.0.shortcut.3.weight       torch.Size([232])
stage4.0.shortcut.3.bias         torch.Size([232])
stage4.0.shortcut.3.running_mean         torch.Size([232])
stage4.0.shortcut.3.running_var          torch.Size([232])
stage4.0.shortcut.3.num_batches_tracked          torch.Size([])
stage4.1.residual.0.weight       torch.Size([232, 232, 1, 1])
stage4.1.residual.0.bias         torch.Size([232])
stage4.1.residual.1.weight       torch.Size([232])
stage4.1.residual.1.bias         torch.Size([232])
stage4.1.residual.1.running_mean         torch.Size([232])
stage4.1.residual.1.running_var          torch.Size([232])
stage4.1.residual.1.num_batches_tracked          torch.Size([])
stage4.1.residual.3.weight       torch.Size([232, 1, 3, 3])
stage4.1.residual.3.bias         torch.Size([232])
stage4.1.residual.4.weight       torch.Size([232])
stage4.1.residual.4.bias         torch.Size([232])
stage4.1.residual.4.running_mean         torch.Size([232])
stage4.1.residual.4.running_var          torch.Size([232])
stage4.1.residual.4.num_batches_tracked          torch.Size([])
stage4.1.residual.5.weight       torch.Size([232, 232, 1, 1])
stage4.1.residual.5.bias         torch.Size([232])
stage4.1.residual.6.weight       torch.Size([232])
stage4.1.residual.6.bias         torch.Size([232])
stage4.1.residual.6.running_mean         torch.Size([232])
stage4.1.residual.6.running_var          torch.Size([232])
stage4.1.residual.6.num_batches_tracked          torch.Size([])
stage4.2.residual.0.weight       torch.Size([232, 232, 1, 1])
stage4.2.residual.0.bias         torch.Size([232])
stage4.2.residual.1.weight       torch.Size([232])
stage4.2.residual.1.bias         torch.Size([232])
stage4.2.residual.1.running_mean         torch.Size([232])
stage4.2.residual.1.running_var          torch.Size([232])
stage4.2.residual.1.num_batches_tracked          torch.Size([])
stage4.2.residual.3.weight       torch.Size([232, 1, 3, 3])
stage4.2.residual.3.bias         torch.Size([232])
stage4.2.residual.4.weight       torch.Size([232])
stage4.2.residual.4.bias         torch.Size([232])
stage4.2.residual.4.running_mean         torch.Size([232])
stage4.2.residual.4.running_var          torch.Size([232])
stage4.2.residual.4.num_batches_tracked          torch.Size([])
stage4.2.residual.5.weight       torch.Size([232, 232, 1, 1])
stage4.2.residual.5.bias         torch.Size([232])
stage4.2.residual.6.weight       torch.Size([232])
stage4.2.residual.6.bias         torch.Size([232])
stage4.2.residual.6.running_mean         torch.Size([232])
stage4.2.residual.6.running_var          torch.Size([232])
stage4.2.residual.6.num_batches_tracked          torch.Size([])
stage4.3.residual.0.weight       torch.Size([232, 232, 1, 1])
stage4.3.residual.0.bias         torch.Size([232])
